customer_id,opt_in,birthday,gender,order_id,weather,order_timestamp,item_id,item_name,item_description,item_image,price,taste_profile,item_type,customization_id,customization
18,True,2002-07-27,male,26,sunny,2017-05-06 11:18:36,640405025,Bacon Cheeseburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice bacon.",,2.79,savory,burger,,
5,True,1992-04-24,other,14,rainy,2017-11-24 07:04:50,640405315,Large Fries,Our french fries are made to order onsite from fresh Idaho potatoes.,/MENU/IMAGE/LARGE_FRIES.PNG,2.09,savory,side,,
1,True,2001-12-18,female,21,cloudy,2018-05-23 14:03:58,640405348,Coffee,Fresh coffee made daily.,,2.00,bitter,beverage,,
18,True,2002-07-27,male,8,snowy,2016-07-15 13:12:50,640405347,Onion Rings,Our onion rings are made to order onsite from Vidalia onions.,/MENU/IMAGE/ONION_RINGS.PNG,2.19,sweet,side,,
6,True,2000-04-15,female,12,sunny,2017-01-14 01:37:47,640405395,Regular Shake,,,2.29,sweet,beverage,,
1,True,2001-12-18,female,6,cloudy,2017-03-21 07:52:50,640405296,Small Fries,Our french fries are made to order onsite from fresh Idaho potatoes.,/MENU/IMAGE/SMALL_FRIES.PNG,1.49,savory,side,,
15,True,2005-04-13,other,9,snowy,2015-09-03 11:38:23,640405389,Small Shake,,,2.09,sweet,beverage,,
20,True,1995-02-21,male,1,rainy,2016-11-03 11:03:25,640405348,Coffee,Fresh coffee made daily.,,2.00,bitter,beverage,,
11,True,2002-05-23,male,2,snowy,2017-03-01 22:30:57,640405380,Large Drink,,,1.99,chilling,beverage,,
7,True,1993-08-23,male,30,snowy,2015-01-24 11:12:18,640405339,Large Curly Fries,Our french fries are made to order onsite from fresh Idaho potatoes.,/MENU/IMAGE/LARGE_CURLY_FRIES.PNG,2.09,savory,side,,
15,True,2005-04-13,other,17,cloudy,2016-06-18 09:49:26,640405085,Double Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,2.99,savory,burger,,
18,True,2002-07-27,male,25,snowy,2019-04-08 02:45:28,640404923,Hamburger,"Our top-quality hamburgers are made from hormone-free, free-range USDA Choice beef.",,3.07,savory,burger,,
